Date,Product,Sales,Waste,Make,temp,rain,days,weather,wind,body_temp,hum,upset,dust,holiday,pop,search,a,b,c,Waste+난수,Make+난수,난수값,,,
01_18,무화과 쿠키,0,0,0,4.9,1.2,Thu,비,1.4,6.216774432,81.6,42.558616,23,0,171998.9465,28,,,,2,2,2,,,
01_19,올리브 치아바타,8,0,8,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,2,10,2,,,
01_19,할라피뇨 치아바타,4,3,7,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,3,7,0,,,
01_19,소금빵,23,0,23,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,1,24,1,,,
01_19,갈레트 부르통,1,0,1,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,0,1,0,,,
01_19,통밀 비스코티,0,0,0,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,0,0,0,,,
01_19,5종 스콘,18,0,18,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,0,18,0,,,
01_19,레몬 마들렌,2,0,2,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,0,2,0,,,
01_19,르뱅 3종,3,0,3,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,0,3,0,,,
01_19,무화과 쿠키,1,0,1,6.4,0,Fri,맑음,3.5,6.304912156,59.6,46.737456,22,0,194233.424,19,,,,2,3,2,,,
01_20,올리브 치아바타,6,1,7,3.8,1.4,Sat,비,3.2,3.600884839,72,41.79064,16,1,110419.0768,21,,,,1,7,0,,,
01_20,감자 치아바타,6,1,7,3.8,1.4,Sat,비,3.2,3.600884839,72,41.79064,16,1,110419.0768,21,,,,2,8,1,,,
01_20,소금빵,24,0,24,3.8,1.4,Sat,비,3.2,3.600884839,72,41.79064,16,1,110419.0768,21,,,,1,25,1,,,
01_20,갈레트 부르통,3,0,3,3.8,1.4,Sat,비,3.2,3.600884839,72,41.79064,16,1,110419.0768,21,,,,1,4,1,,,
